Symbol,Start_Price,End_Price,Type,IPO_Date,Company Name,Return
ABBV,175.10,229.31,Established,Pre-2025,AbbVie Inc.,1.31
AMAT,168.37,268.87,Established,Pre-2025,APPLIED MATERIALS INC /DE,1.60
AMD,125.37,223.47,Established,Pre-2025,ADVANCED MICRO DEVICES INC,1.78
AMZN,224.19,226.50,Established,Pre-2025,AMAZON COM INC,1.01
ASML,707.60,1163.78,Established,Pre-2025,ASML HOLDING NV,1.64
AVGO,230.47,347.62,Established,Pre-2025,Broadcom Inc.,1.51
AXP,299.89,372.73,Established,Pre-2025,AMERICAN EXPRESS CO,1.24
AZN,64.87,91.57,Established,Pre-2025,ASTRAZENECA PLC,1.41
BABA,84.12,155.74,Established,Pre-2025,Alibaba Group Holding Ltd,1.85
BAC,43.80,55.95,Established,Pre-2025,BANK OF AMERICA CORP /DE/,1.28
CAT,358.38,598.41,Established,Pre-2025,CATERPILLAR INC,1.67
COST,911.82,854.50,Established,Pre-2025,COSTCO WHOLESALE CORP /NEW,0.94
CRM,330.74,253.62,Established,Pre-2025,"Salesforce, Inc.",0.77
CSCO,57.46,76.04,Established,Pre-2025,"CISCO SYSTEMS, INC.",1.32
CVX,141.30,155.90,Established,Pre-2025,CHEVRON CORP,1.10
GE,170.99,320.75,Established,Pre-2025,GENERAL ELECTRIC CO,1.88
GS,568.53,914.34,Established,Pre-2025,GOLDMAN SACHS GROUP INC,1.61
HD,379.71,345.82,Established,Pre-2025,"HOME DEPOT, INC.",0.91
HSBC,46.48,80.45,Established,Pre-2025,HSBC HOLDINGS PLC,1.73
IBM,217.04,291.50,Established,Pre-2025,INTERNATIONAL BUSINESS MACHINES CORP,1.34
JNJ,139.91,207.35,Established,Pre-2025,JOHNSON & JOHNSON,1.48
JPM,237.17,324.02,Established,Pre-2025,JPMORGAN CHASE & CO,1.37
KO,59.98,69.12,Established,Pre-2025,COCA COLA CO,1.15
LLY,776.19,1080.36,Established,Pre-2025,ELI LILLY & Co,1.39
LRCX,74.43,185.06,Established,Pre-2025,LAM RESEARCH CORP,2.49
MA,518.38,563.13,Established,Pre-2025,Mastercard Inc,1.09
META,602.73,650.41,Established,Pre-2025,"Meta Platforms, Inc.",1.08
MRK,95.55,106.45,Established,Pre-2025,"Merck & Co., Inc.",1.11
MS,122.51,181.90,Established,Pre-2025,MORGAN STANLEY,1.48
MSFT,420.25,472.94,Established,Pre-2025,MICROSOFT CORP,1.13
MU,89.58,315.42,Established,Pre-2025,MICRON TECHNOLOGY INC,3.52
NFLX,88.11,90.99,Established,Pre-2025,NETFLIX INC,1.03
NVDA,144.43,188.85,Established,Pre-2025,NVIDIA CORP,1.31
NVO,85.30,52.39,Established,Pre-2025,NOVO NORDISK A S,0.61
NVS,94.14,138.54,Established,Pre-2025,NOVARTIS AG,1.47
ORCL,164.68,195.71,Established,Pre-2025,ORACLE CORP,1.19
PG,160.88,141.79,Established,Pre-2025,PROCTER & GAMBLE Co,0.88
PLTR,79.89,167.86,Established,Pre-2025,Palantir Technologies Inc.,2.10
PM,117.86,160.30,Established,Pre-2025,Philip Morris International Inc.,1.36
RTX,113.75,187.25,Established,Pre-2025,RTX Corp,1.65
RY,117.34,170.78,Established,Pre-2025,ROYAL BANK OF CANADA,1.46
SAP,239.24,236.92,Established,Pre-2025,SAP SE,0.99
