,Symbol,Start_Price,End_Price,Type,IPO_Date,Company Name,Return,Avg_Daily_Dollar_Vol,Sector,Return_Score,log_vol,Liquidity_Score,Composite_Score,MarketCap_B,Daily_Vol_M,ForwardPE,ProfitMargin,ROE,DebtToEquity
0,HYMC,2.18,24.4,Established,Pre-2025,HYCROFT MINING HOLDING CORP,11.19,39435189.5449,Basic Materials,1.0,17.4902,0.4513,0.8354,2.23,128.4,-149.16055,0.0,-374.6,282.689
1,CDTX,26.62,221.03,Established,Pre-2025,"Cidara Therapeutics, Inc.",8.3,243306457.1012,Healthcare,0.6678,19.3098,0.6502,0.6625,6.96,198.39,-30.70215,0.0,-68.7,0.47
2,DBGI,1.54,15.23,Established,Pre-2025,"Digital Brands Group, Inc.",9.89,934612.9546,Consumer Cyclical,0.8506,13.7479,0.0424,0.6081,0.14,3.86,,-1.64551,-162.8,40.003
3,SNDK,36.0,240.22,IPO,2025-02-13,Sandisk Corp,6.67,2228449533.807,Technology,0.4805,21.5246,0.8921,0.604,52.67,3648.55,16.717722,-0.22365,-16.2,16.661
4,CELC,13.62,100.55,Established,Pre-2025,Celcuity Inc.,7.38,87695159.5134,Healthcare,0.5621,18.2894,0.5387,0.555,4.81,65.79,-23.010315,0.0,-122.0,273.886
5,TERN,5.75,40.11,Established,Pre-2025,"Terns Pharmaceuticals, Inc.",6.98,101331245.4465,Healthcare,0.5161,18.4339,0.5544,0.5276,4.02,71.78,-30.509203,0.0,-29.1,0.362
6,AXTI,2.27,16.76,Established,Pre-2025,AXT INC,7.38,36303099.9469,Technology,0.5621,17.4074,0.4423,0.5261,1.37,206.56,-6317.5,-0.25224,-9.9,28.569
7,PVLA,13.25,100.28,Established,Pre-2025,"PALVELLA THERAPEUTICS, INC.",7.57,20913968.9982,Healthcare,0.5839,16.8559,0.382,0.5233,1.17,23.34,-24.377537,0.0,-301.2,41.417
8,AFJK,10.68,75.86,Established,Pre-2025,"Aimei Health Technology Co., Ltd.",7.1,13440591.0186,Financial Services,0.5299,16.4138,0.3337,0.471,0.4,16.79,,0.0,,
9,SATS,23.11,112.18,Established,Pre-2025,EchoStar CORP,4.85,346402068.1887,Communication Services,0.2713,19.6631,0.6888,0.3965,34.19,456.68,-35.272488,-0.85363996,-97.8,447.051
10,LITE,89.35,386.11,Established,Pre-2025,Lumentum Holdings Inc.,4.32,1075956447.7944,Technology,0.2103,20.7965,0.8126,0.391,25.01,1161.1,42.90061,0.061079998,13.4,420.108
11,MU,89.58,315.42,Established,Pre-2025,MICRON TECHNOLOGY INC,3.52,5979584264.5124,Technology,0.1184,22.5116,1.0,0.3829,379.9,9687.9,8.4667845,0.28146,22.6,21.244
12,BE,24.32,98.69,Established,Pre-2025,Bloom Energy Corp,4.06,1485888022.8016,Industrials,0.1805,21.1193,0.8479,0.3807,29.48,1198.54,115.63939,0.0084,2.9,223.775
13,PL,4.22,20.41,Established,Pre-2025,Planet Labs PBC,4.84,172018018.4409,Industrials,0.2701,18.9631,0.6123,0.3728,7.2,215.91,-305.8181,-0.45868,-31.8,131.982
14,NEGG,9.6,52.29,Established,Pre-2025,"Newegg Commerce, Inc.",5.45,35836905.1744,Consumer Cyclical,0.3402,17.3945,0.4409,0.3704,1.04,4.38,-495.09998,-0.017180001,-19.7,66.129
15,WDC,48.24,187.7,Established,Pre-2025,WESTERN DIGITAL CORP,3.89,1361722411.7064,Technology,0.1609,21.032,0.8383,0.3641,64.66,1499.35,19.350756,0.25459,29.7,
16,RHLD,35.89,206.81,IPO,2025-02-24,"Resolute Holdings Management, Inc.",5.76,11123674.6216,Industrials,0.3759,16.2246,0.313,0.357,1.73,27.19,,0.2382,,476.833
17,BMNR,7.75,27.72,IPO,2025-06-05,"BITMINE IMMERSION TECHNOLOGIES, INC.",3.58,1800627601.1399,Financial Services,0.1253,21.3114,0.8689,0.3484,13.3,1192.78,33.223297,57.19065,8.0,
18,ONDS,2.8,11.02,Established,Pre-2025,Ondas Holdings Inc.,3.94,647548039.5744,Technology,0.1667,20.2887,0.7571,0.3438,5.51,1256.26,-144.701,-1.7249401,-17.0,3.701
19,OPEN,1.65,6.07,Established,Pre-2025,Opendoor Technologies Inc.,3.68,869553699.2663,Real Estate,0.1368,20.5835,0.7893,0.3325,7.31,343.32,-36.016354,-0.06718,-39.3,220.345
20,GRAL,19.45,88.87,Established,Pre-2025,"GRAIL, Inc.",4.57,94304557.9984,Healthcare,0.2391,18.362,0.5466,0.3313,3.85,61.81,-9.058701,-2.8643398,-16.8,2.616
21,ASTS,23.97,83.47,Established,Pre-2025,"AST SpaceMobile, Inc.",3.48,1029152808.7763,Technology,0.1138,20.752,0.8077,0.322,36.14,1674.95,-124.30977,0.0,-39.0,44.433
22,COGT,7.88,34.74,Established,Pre-2025,"Cogent Biosciences, Inc.",4.41,94209526.0741,Healthcare,0.2207,18.361,0.5465,0.3184,5.59,78.91,-20.699198,0.0,-95.4,20.022
23,HOOD,41.35,115.21,Established,Pre-2025,"Robinhood Markets, Inc.",2.79,3493776165.7176,Financial Services,0.0345,21.9742,0.9413,0.3065,103.96,2078.62,44.34898,0.52188,27.8,188.794
24,OLMA,5.89,25.28,Established,Pre-2025,"Olema Pharmaceuticals, Inc.",4.29,79234993.4784,Healthcare,0.2069,18.1879,0.5276,0.3031,2.16,28.56,-11.64034,0.0,-59.2,1.456
25,HL,5.09,18.87,Established,Pre-2025,HECLA MINING CO/DE/,3.71,322541550.6897,Basic Materials,0.1402,19.5917,0.681,0.3024,14.96,420.63,29.41409,0.16268998,8.9,11.711
26,QBTS,9.14,28.13,Established,Pre-2025,D-Wave Quantum Inc.,3.08,1424091639.3991,Technology,0.0678,21.0768,0.8432,0.3004,10.89,1074.62,-137.67325,0.0,-122.0,5.934
27,AU,22.66,85.6,Established,Pre-2025,AngloGold Ashanti PLC,3.78,225908328.6552,Basic Materials,0.1483,19.2356,0.642,0.2964,46.53,182.43,11.279224,0.26251,38.7,24.231
28,INBX,16.15,75.04,Established,Pre-2025,"Inhibrx Biosciences, Inc.",4.65,26353308.4046,Healthcare,0.2483,17.0871,0.4073,0.296,1.09,14.44,-15.712184,0.0,-144.1,290.266
29,OKLO,27.25,77.8,Established,Pre-2025,Oklo Inc.,2.86,1866525462.1741,Utilities,0.0425,21.3473,0.8728,0.2916,17.34,1065.89,-177.43095,0.0,-10.4,0.138
30,VSAT,9.08,37.63,Established,Pre-2025,VIASAT INC,4.14,73891094.9035,Technology,0.1897,18.1181,0.5199,0.2887,5.43,60.58,147.99265,-0.113979995,-10.2,154.784
31,APLD,9.11,28.11,Established,Pre-2025,Applied Digital Corp.,3.09,873428050.6108,Technology,0.069,20.5879,0.7898,0.2852,10.14,1057.01,-45.943035,-0.47352,-7.9,125.912
32,LEU,80.8,272.5,Established,Pre-2025,CENTRUS ENERGY CORP,3.37,380874588.9852,Energy,0.1011,19.758,0.6991,0.2805,5.71,282.21,63.754566,0.25039,51.7,334.288
33,MP,18.2,54.97,Established,Pre-2025,MP Materials Corp. / DE,3.02,888649856.524,Basic Materials,0.0609,20.6052,0.7917,0.2802,10.63,425.73,89.97554,-0.50546,-6.8,43.511
34,PRAX,80.93,286.4,Established,Pre-2025,"Praxis Precision Medicines, Inc.",3.54,202268763.8731,Healthcare,0.1207,19.1251,0.63,0.2735,7.53,185.39,-23.649132,0.0,-75.2,0.127
