Symbol,Start_Price,End_Price,Type,IPO_Date,Company Name,Return,Avg_Daily_Dollar_Vol,Sector,MarketCap_B,ForwardPE,ProfitMargin,Return_Score,log_vol,Liquidity_Score,Composite_Score
HYMC,2.1800,24.4000,Established,Pre-2025,HYCROFT MINING HOLDING CORP,11.1900,39435189.5449,Basic Materials,2.2147,-148.1917,0.0000,1.0000,17.4902,0.4513,0.8354
CDTX,26.6200,221.0300,Established,Pre-2025,"Cidara Therapeutics, Inc.",8.3000,243306457.1012,Healthcare,6.9616,-30.7022,0.0000,0.6678,19.3098,0.6502,0.6625
DBGI,1.5400,15.2300,Established,Pre-2025,"Digital Brands Group, Inc.",9.8900,934612.9546,Consumer Cyclical,0.1375,,-1.6455,0.8506,13.7479,0.0424,0.6081
SNDK,36.0000,240.2200,IPO,2025-02-13,Sandisk Corp,6.6700,2228449533.8070,Technology,52.6067,16.6986,-0.2236,0.4805,21.5246,0.8921,0.6040
CELC,13.6200,100.5500,Established,Pre-2025,Celcuity Inc.,7.3800,87695159.5134,Healthcare,4.8192,-23.0590,0.0000,0.5621,18.2894,0.5387,0.5550
TERN,5.7500,40.1100,Established,Pre-2025,"Terns Pharmaceuticals, Inc.",6.9800,101331245.4465,Healthcare,4.0200,-30.5175,0.0000,0.5161,18.4339,0.5544,0.5276
AXTI,2.2700,16.7600,Established,Pre-2025,AXT INC,7.3800,36303099.9469,Technology,1.3772,-6351.2500,-0.2522,0.5621,17.4074,0.4423,0.5261
PVLA,13.2500,100.2800,Established,Pre-2025,"PALVELLA THERAPEUTICS, INC.",7.5700,20913968.9982,Healthcare,1.1413,-23.8436,0.0000,0.5839,16.8559,0.3820,0.5233
AFJK,10.6800,75.8600,Established,Pre-2025,"Aimei Health Technology Co., Ltd.",7.1000,13440591.0186,Financial Services,0.3980,,0.0000,0.5299,16.4138,0.3337,0.4710
SATS,23.1100,112.1800,Established,Pre-2025,EchoStar CORP,4.8500,346402068.1887,Communication Services,34.2544,-35.3408,-0.8536,0.2713,19.6631,0.6888,0.3965
LITE,89.3500,386.1100,Established,Pre-2025,Lumentum Holdings Inc.,4.3200,1075956447.7944,Technology,25.0180,42.9061,0.0611,0.2103,20.7965,0.8126,0.3910
MU,89.5800,315.4200,Established,Pre-2025,MICRON TECHNOLOGY INC,3.5200,5979584264.5124,Technology,379.6512,8.4612,0.2815,0.1184,22.5116,1.0000,0.3829
BE,24.3200,98.6900,Established,Pre-2025,Bloom Energy Corp,4.0600,1485888022.8016,Industrials,29.3900,115.2822,0.0084,0.1805,21.1193,0.8479,0.3807
PL,4.2200,20.4100,Established,Pre-2025,Planet Labs PBC,4.8400,172018018.4409,Industrials,7.2362,-307.1495,-0.4587,0.2701,18.9631,0.6123,0.3728
NEGG,9.6000,52.2900,Established,Pre-2025,"Newegg Commerce, Inc.",5.4500,35836905.1744,Consumer Cyclical,1.0299,-491.2000,-0.0172,0.3402,17.3945,0.4409,0.3704
WDC,48.2400,187.7000,Established,Pre-2025,WESTERN DIGITAL CORP,3.8900,1361722411.7064,Technology,64.7883,19.3887,0.2546,0.1609,21.0320,0.8383,0.3641
RHLD,35.8900,206.8100,IPO,2025-02-24,"Resolute Holdings Management, Inc.",5.7600,11123674.6216,Industrials,1.7301,,0.2382,0.3759,16.2246,0.3130,0.3570
BMNR,7.7500,27.7200,IPO,2025-06-05,"BITMINE IMMERSION TECHNOLOGIES, INC.",3.5800,1800627601.1399,Financial Services,13.4566,33.6170,57.1906,0.1253,21.3114,0.8689,0.3484
ONDS,2.8000,11.0200,Established,Pre-2025,Ondas Holdings Inc.,3.9400,647548039.5744,Technology,5.5666,-146.1950,-1.7249,0.1667,20.2887,0.7571,0.3438
OPEN,1.6500,6.0700,Established,Pre-2025,Opendoor Technologies Inc.,3.6800,869553699.2663,Real Estate,7.2965,-35.9459,-0.0672,0.1368,20.5835,0.7893,0.3325
GRAL,19.4500,88.8700,Established,Pre-2025,"GRAIL, Inc.",4.5700,94304557.9984,Healthcare,3.8982,-9.1715,-2.8643,0.2391,18.3620,0.5466,0.3313
ASTS,23.9700,83.4700,Established,Pre-2025,"AST SpaceMobile, Inc.",3.4800,1029152808.7763,Technology,36.2864,-124.7962,0.0000,0.1138,20.7520,0.8077,0.3220
COGT,7.8800,34.7400,Established,Pre-2025,"Cogent Biosciences, Inc.",4.4100,94209526.0741,Healthcare,5.6429,-20.8896,0.0000,0.2207,18.3610,0.5465,0.3184
HOOD,41.3500,115.2100,Established,Pre-2025,"Robinhood Markets, Inc.",2.7900,3493776165.7176,Financial Services,104.6926,44.6597,0.5219,0.0345,21.9742,0.9413,0.3065
OLMA,5.8900,25.2800,Established,Pre-2025,"Olema Pharmaceuticals, Inc.",4.2900,79234993.4784,Healthcare,2.1707,-11.7226,0.0000,0.2069,18.1879,0.5276,0.3031
HL,5.0900,18.8700,Established,Pre-2025,HECLA MINING CO/DE/,3.7100,322541550.6897,Basic Materials,14.9918,29.4833,0.1627,0.1402,19.5917,0.6810,0.3024
QBTS,9.1400,28.1300,Established,Pre-2025,D-Wave Quantum Inc.,3.0800,1424091639.3991,Technology,11.1831,-141.4377,0.0000,0.0678,21.0768,0.8432,0.3004
AU,22.6600,85.6000,Established,Pre-2025,AngloGold Ashanti PLC,3.7800,225908328.6552,Basic Materials,46.4952,11.2704,0.2625,0.1483,19.2356,0.6420,0.2964
INBX,16.1500,75.0400,Established,Pre-2025,"Inhibrx Biosciences, Inc.",4.6500,26353308.4046,Healthcare,1.0944,-15.8088,0.0000,0.2483,17.0871,0.4073,0.2960
OKLO,27.2500,77.8000,Established,Pre-2025,Oklo Inc.,2.8600,1866525462.1741,Utilities,17.5075,-179.1739,0.0000,0.0425,21.3473,0.8728,0.2916
VSAT,9.0800,37.6300,Established,Pre-2025,VIASAT INC,4.1400,73891094.9035,Technology,5.4079,147.2560,-0.1140,0.1897,18.1181,0.5199,0.2887
APLD,9.1100,28.1100,Established,Pre-2025,Applied Digital Corp.,3.0900,873428050.6108,Technology,10.1624,-46.0633,-0.4735,0.0690,20.5879,0.7898,0.2852
LEU,80.8000,272.5000,Established,Pre-2025,CENTRUS ENERGY CORP,3.3700,380874588.9852,Energy,5.7299,64.0048,0.2504,0.1011,19.7580,0.6991,0.2805
MP,18.2000,54.9700,Established,Pre-2025,MP Materials Corp. / DE,3.0200,888649856.5240,Basic Materials,10.6808,90.4376,-0.5055,0.0609,20.6052,0.7917,0.2802
PRAX,80.9300,286.4000,Established,Pre-2025,"Praxis Precision Medicines, Inc.",3.5400,202268763.8731,Healthcare,7.5345,-23.6527,0.0000,0.1207,19.1251,0.6300,0.2735
CIFR,5.5700,16.2000,Established,Pre-2025,Cipher Mining Inc.,2.9100,803008856.6678,Financial Services,7.0998,36.6735,-0.3416,0.0483,20.5039,0.7806,0.2680
HOUS,3.2600,13.9600,Established,Pre-2025,Anywhere Real Estate Inc.,4.2800,26906785.6584,Real Estate,1.9780,269.5187,-0.0218,0.2057,17.1079,0.4096,0.2669
NUTX,33.8800,148.1900,Established,Pre-2025,"Nutex Health, Inc.",4.3700,20970112.0051,Healthcare,1.3278,125.1700,0.1229,0.2161,16.8586,0.3823,0.2660
RKLB,28.7400,75.9900,Established,Pre-2025,Rocket Lab Corp,2.6400,1367895523.5884,Industrials,45.8813,-736.2210,-0.3564,0.0172,21.0365,0.8388,0.2637
WBD,10.5700,28.5100,Established,Pre-2025,"Warner Bros. Discovery, Inc.",2.7000,1105411847.7821,Communication Services,71.0993,-132.9146,0.0128,0.0241,20.8235,0.8155,0.2616
NB,1.5500,5.9500,Established,Pre-2025,NIOCORP DEVELOPMENTS LTD,3.8400,63567438.8613,Basic Materials,0.7663,-19.7538,0.0000,0.1552,17.9676,0.5035,0.2597
CIEN,83.6100,246.0600,Established,Pre-2025,CIENA CORP,2.9400,570473696.0744,Technology,31.7023,32.6345,0.0259,0.0517,20.1620,0.7433,0.2592
LRCX,74.4300,185.0600,Established,Pre-2025,LAM RESEARCH CORP,2.4900,1713528264.1880,Technology,268.3035,37.0990,0.2966,0.0000,21.2618,0.8634,0.2590
NEM,37.4700,101.2200,Established,Pre-2025,NEWMONT Corp /DE/,2.7000,924231585.3503,Basic Materials,118.1712,13.9401,0.3342,0.0241,20.6445,0.7960,0.2557
ARWR,19.7900,67.7900,Established,Pre-2025,"ARROWHEAD PHARMACEUTICALS, INC.",3.4300,118750065.2167,Healthcare,9.0067,-14.4463,-0.0020,0.1080,18.5925,0.5718,0.2472
UUUU,5.7400,16.6800,Established,Pre-2025,ENERGY FUELS INC,2.9100,373088903.6445,Energy,4.4477,93.7205,-1.2417,0.0483,19.7373,0.6969,0.2429
IDR,10.4700,41.1300,Established,Pre-2025,"Idaho Strategic Resources, Inc.",3.9300,25982004.8328,Basic Materials,0.7606,61.7468,0.2900,0.1655,17.0729,0.4057,0.2376
CDE,6.0500,17.5500,Established,Pre-2025,"Coeur Mining, Inc.",2.9000,303641557.5711,Basic Materials,13.1010,14.1864,0.2403,0.0471,19.5314,0.6744,0.2353
UAMY,1.8600,5.9300,Established,Pre-2025,UNITED STATES ANTIMONY CORP,3.1900,144389301.5434,Basic Materials,1.0663,69.2236,-0.1549,0.0805,18.7880,0.5931,0.2343
COMM,5.2700,18.2600,Established,Pre-2025,"CommScope Holding Company, Inc.",3.4600,73944648.0816,Technology,3.9314,11.6599,0.1757,0.1115,18.1188,0.5200,0.2341
GH,33.7600,101.7400,Established,Pre-2025,"Guardant Health, Inc.",3.0100,222671484.7712,Healthcare,14.0518,-75.3699,-0.4418,0.0598,19.2212,0.6405,0.2340
KTOS,27.4800,79.2900,Established,Pre-2025,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",2.8900,262122831.9862,Industrials,19.0292,148.8818,0.0156,0.0460,19.3843,0.6583,0.2297
INSM,69.8600,177.1200,Established,Pre-2025,INSMED Inc,2.5400,523749453.6961,Healthcare,37.3229,-49.9194,-2.6483,0.0057,20.0765,0.7339,0.2242
SLS,1.0800,4.3500,Established,Pre-2025,"SELLAS Life Sciences Group, Inc.",4.0300,11703182.5949,Healthcare,0.5577,-10.3420,0.0000,0.1770,16.2754,0.3186,0.2195
