,nasdaq_vol,treasury_10y,dollar_index,semiconductor_etf,fed_funds_rate,unemployment,pce_inflation,yield_curve,credit_spread,ted_spread,vol_regime,credit_regime,month,month_sin,month_cos,is_month_end,is_quarter_end,is_year_end,days_since_unemployment_update,days_since_pceinflation_update,week_of_year,week_sin,week_cos
2018-01-05,-1.4788,0.088,-1.0962,-1.2017,-0.2553,-0.3278,-1.1693,0.4161,-0.81,0.4569,-0.3795,-1.5818,1,0.5,0.866,0,0,0,0,0,1,0.1205,0.9927
2018-01-12,-1.3348,0.1568,-1.28,-1.2094,-0.2553,-0.3278,-1.1693,0.4993,-0.8004,0.3371,0.0691,-1.3866,1,0.5,0.866,0,0,0,7,7,2,0.2393,0.9709
2018-01-19,-1.126,0.2337,-1.355,-1.1543,-0.2553,-0.3278,-1.1693,0.5326,-0.8197,0.397,0.7501,-1.3448,1,0.5,0.866,0,0,0,14,14,3,0.3546,0.935
2018-01-26,-0.9449,0.2563,-1.6362,-1.1398,-0.2553,-0.3278,-1.1693,0.4494,-0.9355,0.7564,1.324,-1.6938,1,0.5,0.866,0,0,0,21,21,4,0.4647,0.8855
2018-02-02,-0.5299,0.4299,-1.6118,-1.2025,-0.2553,-0.2823,-1.138,0.7157,-0.81,0.4569,2.4757,-1.0508,2,0.866,0.5,0,0,0,0,0,5,0.5681,0.823
2018-02-09,0.6542,0.4073,-1.3793,-1.2669,-0.2553,-0.2823,-1.138,0.8655,-0.3662,0.2173,3.8785,0.7046,2,0.866,0.5,0,0,0,7,7,6,0.6631,0.7485
2018-02-16,-0.5564,0.4507,-1.6306,-1.204,-0.2553,-0.2823,-1.138,0.6658,-0.675,0.2173,1.1938,-0.4897,2,0.866,0.5,0,0,0,14,14,7,0.7485,0.6631
2018-02-23,-0.8603,0.4453,-1.4843,-1.1682,-0.2553,-0.2823,-1.138,0.6158,-0.5978,0.5767,0.6172,-0.1688,2,0.866,0.5,0,0,0,21,21,8,0.823,0.5681
2018-03-02,-0.415,0.4326,-1.4731,-1.1579,-0.2553,-0.3278,-1.1225,0.5825,-0.5302,0.9361,1.2984,0.1174,3,1.0,0.0,0,0,0,0,0,9,0.8855,0.4647
2018-03-09,-0.974,0.4661,-1.445,-1.0899,-0.2553,-0.3278,-1.1225,0.6158,-0.646,1.1756,0.3516,-0.3137,3,1.0,0.0,0,0,0,7,7,10,0.935,0.3546
