Date,NVDA,MU,AAPL,AMD,ASML,MSFT,GOOG
2019-05-24,-0.0755,-0.0588,-0.0545,-0.0393,-0.0583,-0.0144,-0.0251
2019-05-31,-0.068,-0.0417,-0.022,0.036,-0.0093,-0.0205,-0.0267
2019-06-07,0.0715,0.0414,0.0826,0.1676,0.0446,0.0605,-0.0347
2019-06-14,-0.0059,-0.0399,0.0135,-0.0653,-0.0237,0.008,0.018
2019-06-21,0.0481,0.0179,0.0309,-0.0424,0.052,0.0336,0.0331
2019-06-28,0.079,0.1489,-0.0043,0.0427,0.0276,-0.0222,-0.0372
2019-07-05,-0.0247,0.0213,0.0314,0.0365,0.0087,0.0229,0.0458
2019-07-12,0.045,0.1214,-0.0046,0.0529,-0.0075,0.0133,0.0117
2019-07-19,0.0049,0.0224,-0.0035,-0.0213,0.0715,-0.0166,-0.013
2019-07-26,0.0386,0.0424,0.0251,0.0454,0.0318,0.034,0.1012
2019-08-02,-0.0826,-0.0745,-0.0181,-0.1446,-0.0485,-0.0319,-0.0462
2019-08-09,-0.0445,-0.0598,-0.0112,0.1496,-0.018,0.0059,-0.005
2019-08-16,0.0343,0.0477,0.027,-0.0922,-0.0146,-0.0082,-0.0088
2019-08-23,0.0179,-0.0136,-0.0189,-0.054,-0.0111,-0.0203,-0.0226
2019-08-30,0.0317,0.0524,0.0297,0.0627,0.0559,0.033,0.0315
2019-09-06,0.0644,0.0786,0.0214,-0.0287,0.0692,0.009,0.0141
2019-09-13,0.0182,0.0308,0.0254,0.0042,0.0428,-0.0129,0.0283
2019-09-20,-0.0522,-0.0269,-0.0047,-0.0211,-0.0129,0.0153,-0.0078
2019-09-27,-0.0054,-0.129,0.005,-0.0453,-0.0085,-0.0123,-0.0039
2019-10-04,0.0577,0.0305,0.0367,0.01,0.0095,0.0028,-0.0132
2019-10-11,0.0219,0.0123,0.0397,0.0252,0.0552,0.0112,0.0053
2019-10-18,0.0239,-0.0368,0.0008,0.0402,-0.0217,-0.0164,0.0244
2019-10-25,0.0712,0.0998,0.0421,0.0547,0.0369,0.0239,0.0156
2019-11-01,-0.0096,0.0073,0.0368,0.0645,0.0247,0.021,0.0068
