Date,open,high,low,close,volume,return,price_to_sma_4w,price_to_sma_8w,price_to_sma_12w,price_to_ema_8w,price_to_ema_12w,macd_histogram,return_lag_1w,return_lag_2w,return_lag_3w,rsi_14w,stochastic_14w,roc_4w,volatility_12w,atr_pct_14w,bb_position_20w,volume_ratio_20w,mfi_14w,obv_roc_4w,bench_corr_12w,bench_beta_12w,ticker
2019-05-24,3.7861,3.8643,3.5958,3.6025,2209208000,-0.0755,-2.3526,-2.3511,-1.9404,-2.1924,-1.9033,-1.126,-1.4777,-1.566,0.4171,-0.8348,-2.0499,-1.8616,0.5494,0.5298,-1.4237,-0.6795,-0.5657,-0.8061,0.5272,2.2347,NVDA
2019-05-24,183.2041,184.5271,178.413,179.358,3796900,-0.0583,-1.125,-0.9302,-0.5972,-0.8159,-0.6042,0.0409,0.1314,-0.9792,0.0466,-0.1783,-0.5941,-0.9704,-0.4425,-0.8023,-0.2538,0.2398,0.2046,-0.0301,1.0066,0.9966,ASML
2019-05-24,119.547,121.1722,117.8651,119.2824,92123900,-0.0144,-0.3306,-0.1265,0.0816,-0.0394,0.1056,0.5579,0.1087,-0.3357,-0.2251,1.2852,0.6922,-0.4456,-1.3404,-1.313,0.5082,-0.8088,0.8717,-0.2834,0.5034,-0.7689,MSFT
2019-05-24,44.0226,45.0973,42.6529,42.9311,627880400,-0.0545,-1.6844,-1.3798,-1.0288,-1.2587,-0.9745,-0.2228,-0.8696,-1.3221,0.5747,-0.1429,-1.3201,-1.2937,-0.4356,-0.5584,-0.5052,0.2275,0.1388,-0.3095,0.8482,0.898,AAPL
2019-05-24,26.98,27.59,26.03,26.44,263516900,-0.0393,-0.9377,-0.8461,-0.3702,-0.6008,-0.3534,0.2003,-0.3976,-0.2516,0.1387,0.0513,-0.0148,-0.6851,0.6055,0.3994,-0.0006,-0.8365,-0.5712,-0.4324,-0.8898,0.8133,AMD
2019-05-24,56.8361,57.5323,56.0774,56.2883,114770000,-0.0251,-0.6315,-0.8959,-0.7817,-0.7962,-0.7107,-0.3041,-0.1249,-0.4122,-1.3844,-0.3302,-1.3671,-1.1915,-0.9568,-1.0245,-0.7006,-0.5594,-0.4248,-1.1933,-1.0257,-0.951,GOOG
2019-05-24,33.9192,35.0221,32.172,33.1871,139785900,-0.0588,-2.2667,-2.2064,-1.9038,-2.1621,-1.9535,-1.4577,-1.5006,-2.0464,0.4455,-1.4853,-1.7771,-1.9272,0.1595,0.8912,-2.0633,-0.1469,-0.9602,-2.0476,0.0935,1.2229,MU
2019-05-31,182.0228,182.741,176.6175,177.7043,3062400,-0.0093,-0.8061,-0.9584,-0.7357,-0.8018,-0.6528,-0.2768,-1.1618,0.1449,-0.9824,-0.2761,-0.7534,-1.1017,-0.5127,-0.8739,-0.4355,-0.3391,-0.2041,-0.1802,0.8243,0.6774,ASML
2019-05-31,119.9816,120.9454,116.5233,116.8635,89367900,-0.0205,-0.5462,-0.4337,-0.229,-0.3314,-0.1729,0.3247,-0.3574,0.1221,-0.3388,0.768,0.235,-0.5554,-1.3271,-1.2923,0.2258,-0.8153,0.5336,-0.2763,0.5512,-0.7694,MSFT
2019-05-31,42.9191,43.3197,41.9764,41.9956,418765600,-0.022,-1.2201,-1.4759,-1.2469,-1.2972,-1.0917,-0.7069,-1.0922,-0.8608,-1.3254,-0.3895,-1.6111,-1.7299,-0.4157,-0.6486,-0.7674,-0.7473,-0.1332,-0.5137,0.8682,0.8677,AAPL
2019-05-31,56.3146,57.188,54.6351,54.8064,107258000,-0.0267,-0.8018,-1.0813,-1.0123,-0.9874,-0.9144,-0.5788,-0.5537,-0.1125,-0.4153,-0.5443,-2.0078,-0.8381,-0.9136,-0.9884,-1.2075,-0.6734,-0.4492,-1.3888,-0.6808,-0.7634,GOOG
2019-05-31,27.27,29.67,27.06,27.41,380876100,0.036,-0.1,-0.3231,-0.1726,-0.0969,0.0238,0.0524,-0.8135,-0.3865,-0.2547,0.0973,0.3552,-0.4826,0.3526,0.4399,0.2266,0.1817,-0.4312,-0.3708,-1.5849,-0.1933,AMD
2019-05-31,3.6201,3.6529,3.3641,3.3658,1772176000,-0.068,-2.2239,-2.6332,-2.4455,-2.5375,-2.2975,-1.9686,-1.4758,-1.4718,-1.5694,-1.1136,-2.0703,-2.5148,0.6436,0.6921,-1.788,-1.067,-0.8586,-1.0708,0.613,2.3633,NVDA
2019-05-31,33.3335,33.4994,31.4008,31.8303,95119400,-0.0417,-1.71,-2.2906,-2.1516,-2.2342,-2.1084,-2.0511,-1.1708,-1.4948,-2.0499,-1.6901,-1.9564,-2.4126,0.0512,0.8524,-2.1921,-0.9724,-1.2799,-2.2747,-0.0407,0.8727,MU
2019-06-07,32.1622,34.5536,31.6937,33.1773,115839300,0.0414,-0.2601,-1.563,-1.6952,-1.3783,-1.4855,-2.0378,-0.8581,-1.1635,-1.4982,-1.3912,-1.5866,-1.3511,0.1217,0.6588,-1.7635,-0.5065,-0.9008,-2.1652,0.1691,1.1821,MU
2019-06-07,3.377,3.6496,3.2947,3.6153,2389092000,0.0715,-0.1694,-1.516,-1.7444,-1.2991,-1.378,-1.9314,-1.3379,-1.4699,-1.4752,-0.7611,-1.3515,-1.4397,0.2722,0.4982,-1.2554,-0.3952,-0.4868,-0.6819,0.4879,1.6961,NVDA
2019-06-07,178.2051,187.5416,176.06,185.8028,2687900,0.0446,0.1146,-0.3927,-0.316,-0.1567,-0.1495,-0.2957,-0.2634,-1.1544,0.142,0.0086,0.0268,-0.3235,-0.7104,-0.8924,0.0572,-0.6002,-0.1823,-0.0024,0.6309,0.2601,ASML
2019-06-07,28.75,32.6,27.29,32.41,552672100,0.1676,2.5847,1.6415,1.3808,1.9665,1.8128,0.5423,0.5658,-0.8045,-0.3896,0.83,1.2681,1.1752,1.0158,0.3673,1.4777,1.4744,0.1001,0.2112,-0.7037,1.4254,AMD
2019-06-07,117.0241,124.9612,112.4509,124.158,147636900,0.0605,0.4662,0.1932,0.2966,0.4171,0.4406,0.3528,-0.4689,-0.3461,0.1192,1.0565,1.2029,0.1009,-1.2243,-1.0792,0.7729,0.5697,0.589,0.1821,0.6031,-0.5723,MSFT
2019-06-07,42.1227,46.0376,40.8442,45.613,617392800,0.0826,0.5755,-0.4447,-0.4689,-0.1099,-0.151,-0.6124,-0.4972,-1.0845,-0.864,0.0171,-0.4882,-0.544,-0.3455,-0.5297,-0.0829,0.2852,-0.0805,-0.2727,0.8808,1.0229,AAPL
2019-06-07,52.9129,53.1821,50.9017,52.9397,272762000,-0.0347,-1.0455,-1.2946,-1.2591,-1.2273,-1.1624,-0.8936,-0.5823,-0.5434,-0.1155,-1.0562,-1.5466,-0.9739,-0.9799,-0.8208,-1.6931,2.541,-1.0078,-2.3785,-2.5764,-1.7704,GOOG
2019-06-14,33.53,34.3,30.02,30.36,370731400,-0.0653,0.6531,0.5753,0.4966,0.5978,0.7113,0.5854,2.9739,0.5814,-0.8076,0.7488,0.2372,0.6885,0.9015,0.7857,0.7593,0.0244,0.4523,0.2635,-0.8486,1.1121,AMD
2019-06-14,185.472,191.5105,180.0194,181.4558,2491400,-0.0237,-0.1186,-0.5936,-0.5817,-0.4588,-0.4164,-0.4254,0.7221,-0.2518,-1.1576,0.0784,-0.5262,-0.632,-0.7203,-0.7992,-0.3427,-0.6811,0.1514,-0.2022,0.5423,0.1797,ASML
2019-06-14,53.2844,54.725,53.0142,53.8987,122622000,0.018,-0.3703,-0.8962,-1.0105,-0.8144,-0.8646,-0.9561,-0.7283,-0.5722,-0.5465,-0.9027,-1.2983,-0.8136,-0.9786,-0.9386,-1.4027,-0.484,-1.0268,-2.4762,-2.4685,-1.7194,GOOG
2019-06-14,3.6714,3.7857,3.5492,3.5939,1848052000,-0.0059,0.1154,-1.2148,-1.654,-1.1466,-1.2831,-1.942,1.2152,-1.3314,-1.4732,-0.6441,-1.3997,-0.8904,0.1366,0.3974,-1.2339,-0.9214,-0.1772,-0.7116,0.6958,1.6514,NVDA
