#{"t_start": 1763831218.311906, "env_id": "None"}
r,l,t
1.5749314,18,0.658455
1.1967995,18,0.674219
2.487344,18,0.682863
2.6034112,18,0.690049
-0.30568457,18,0.700418
2.0073004,18,0.709695
2.1675024,18,0.724243
1.1605889,18,0.731294
2.1814203,18,0.744247
2.5031307,18,0.751469
3.6072176,18,0.760946
1.7455465,18,0.767309
0.41192818,18,0.773783
1.7775562,18,0.779933
2.0601983,18,1.400861
2.8068461,18,1.408653
1.8015988,18,1.415084
2.4239838,18,1.422835
0.27273315,18,1.42991
2.114728,18,1.436879
0.054553866,18,1.443704
2.1602569,18,1.449768
1.450196,18,1.456543
3.5544686,18,1.463419
1.5760509,18,1.470299
2.4082284,18,1.478602
1.3849678,18,1.487411
2.7724023,18,1.49435
1.8867167,18,1.922447
1.67681,18,1.929255
2.9657934,18,1.935915
1.8311768,18,1.942512
2.398371,18,1.948564
1.5880793,18,1.955302
2.0560887,18,1.96193
2.067371,18,1.968166
3.3691146,18,1.974995
1.4341388,18,1.980967
1.9723697,18,1.987523
2.7276866,18,1.993858
1.56719,18,1.999824
2.8923042,18,2.00986
1.7305927,18,2.405449
2.1876962,18,2.411607
1.882444,18,2.417573
1.2139201,18,2.426937
2.6216447,18,2.433275
2.3394706,18,2.43996
1.8927369,18,2.446502
2.2592235,18,2.45296
1.0238767,18,2.459344
2.7922041,18,2.465666
2.6518207,18,2.472181
1.6050065,18,2.478411
1.3538537,18,2.484567
2.8630793,18,2.491007
2.8417742,18,2.886952
1.6411617,18,2.893481
2.9395022,18,2.899532
2.4234157,18,2.906115
1.782823,18,2.912466
2.3787985,18,2.918743
2.2963262,18,2.925128
2.4713182,18,2.931123
3.1719227,18,2.937165
2.178087,18,2.943143
2.3936265,18,2.949053
2.0175736,18,2.958464
2.2709188,18,2.964767
2.63863,18,2.971016
3.0437503,18,2.977016
2.140285,18,3.376555
1.8998802,18,3.382945
2.0350418,18,3.389806
3.0935872,18,3.396358
2.334337,18,3.403316
4.0250673,18,3.409928
2.3371959,18,3.416239
1.7557296,18,3.422864
2.2811751,18,3.429275
3.803411,18,3.43591
4.044859,18,3.442646
1.7356777,18,3.449108
2.6912081,18,3.455778
3.0715785,18,3.462298
2.8578868,18,3.893153
2.4682562,18,3.901198
2.1193686,18,3.908076
3.2456331,18,3.914595
3.1579225,18,3.920991
3.818882,18,3.927081
3.3869815,18,3.93306
3.5596464,18,3.939358
2.6912007,18,3.945772
3.2315025,18,3.95212
2.8610418,18,3.958588
2.0009937,18,3.964748
2.6645494,18,3.971152
2.4376135,18,3.977615
3.0942156,18,4.384135
3.684556,18,4.390848
2.5521984,18,4.397278
2.980339,18,4.403589
3.2233891,18,4.410156
2.9372709,18,4.416661
3.6642575,18,4.425707
1.7755164,18,4.4321
2.3603306,18,4.438392
3.3579998,18,4.44464
2.4675193,18,4.450838
2.8376207,18,4.457289
3.5393355,18,4.520419
3.2115111,18,4.530137
2.9362946,18,4.941739
3.2393718,18,4.950876
2.7543278,18,4.958857
2.582069,18,4.965191
2.8760083,18,4.972135
4.215755,18,4.978769
3.5249748,18,4.985255
2.8915308,18,4.99221
2.7386208,18,4.998471
4.2660775,18,5.005477
2.1745336,18,5.012256
3.9248586,18,5.019102
2.8683517,18,5.025896
3.1258469,18,5.032196
3.7236402,18,5.038822
2.5618079,18,5.460833
3.3458834,18,5.467172
3.3445148,18,5.4771
3.2925813,18,5.48353
3.765971,18,5.490556
3.5881925,18,5.496932
2.6198082,18,5.503497
3.08083,18,5.510196
2.7079718,18,5.516507
3.7517083,18,5.523255
3.1047628,18,5.529575
2.669699,18,5.536415
3.3826907,18,5.542954
3.3019404,18,5.548987
3.785273,18,5.969162
4.1574593,18,5.976006
2.2618816,18,5.98239
2.9197922,18,5.989138
4.1485486,18,5.99833
4.1428847,18,6.004966
2.937662,18,6.011757
3.9327142,18,6.018154
4.0623717,18,6.025098
3.6700811,18,6.031459
2.5795147,18,6.038099
3.678537,18,6.044505
4.430556,18,6.050717
2.9346888,18,6.05757
4.2936506,18,6.474776
3.0467277,18,6.481291
3.291406,18,6.488049
4.298525,18,6.494854
3.2189186,18,6.500933
3.055554,18,6.507632
3.9398081,18,6.514094
3.7452903,18,6.523335
3.5808501,18,6.529724
3.2742596,18,6.53599
3.9467673,18,6.543299
4.0384254,18,6.549417
3.8321896,18,6.55616
3.8239799,18,6.562673
3.9790301,18,6.977653
3.076261,18,6.984361
3.3990214,18,6.991331
4.121483,18,6.997871
4.4340415,18,7.004718
3.6530375,18,7.011444
3.8118992,18,7.017848
3.720796,18,7.024867
5.240982,18,7.031115
3.4874086,18,7.037949
3.5885317,18,7.046773
3.1676395,18,7.053877
3.8249314,18,7.060222
4.692236,18,7.066429
4.496884,18,7.482516
4.9487658,18,7.489743
4.6132135,18,7.496089
4.5760946,18,7.503415
3.9977708,18,7.509966
3.726706,18,7.516579
3.9887176,18,7.523477
4.219413,18,7.529824
3.5980608,18,7.536462
2.7300675,18,7.542916
2.8783727,18,7.549317
3.8258452,18,7.556017
3.7861052,18,7.5623
4.248119,18,7.568634
4.2664466,18,7.578111
5.0605717,18,7.992211
3.9548857,18,8.00155
3.619074,18,8.008706
3.64561,18,8.014938
4.228259,18,8.021907
4.6619635,18,8.028274
5.0772786,18,8.034742
4.602309,18,8.041426
3.2236059,18,8.047762
3.801234,18,8.05454
4.4941072,18,8.061135
4.0098715,18,8.067474
4.184574,18,8.07414
3.677314,18,8.08019
4.220024,18,8.614694
4.044182,18,8.621891
3.9315593,18,8.628339
5.160297,18,8.634747
4.8828573,18,8.644181
4.1084976,18,8.65047
4.635571,18,8.657555
4.387816,18,8.663946
4.625609,18,8.670923
3.874599,18,8.727339
4.872421,18,8.734182
3.9743838,18,8.744649
4.5854344,18,8.75113
4.9188967,18,8.758221
4.6583357,18,9.176014
5.252067,18,9.18236
4.990002,18,9.18911
4.996738,18,9.19527
4.1623173,18,9.201218
4.178704,18,9.208107
4.684107,18,9.214345
4.833188,18,9.220816
5.1326175,18,9.227225
4.2796893,18,9.233481
4.807022,18,9.239832
4.3835673,18,9.245924
4.5664773,18,9.252063
4.669363,18,9.258138
4.5919833,18,9.672087
4.153158,18,9.678336
3.8456056,18,9.687823
4.392294,18,9.694974
4.530778,18,9.701565
4.9427147,18,9.708604
3.9137552,18,9.714895
4.8840685,18,9.721867
4.772277,18,9.728133
4.5343943,18,9.734187
4.893174,18,9.740796
3.6119728,18,9.746729
4.903012,18,9.753261
4.175165,18,9.759565
4.192146,18,9.765826
4.497948,18,10.18569
5.1278586,18,10.192274
4.9561086,18,10.198307
4.246217,18,10.204969
5.221539,18,10.21358
4.470407,18,10.22037
4.2260976,18,10.226737
3.9926841,18,10.23289
5.0835915,18,10.23995
3.9495118,18,10.246134
4.464649,18,10.252796
5.1586995,18,10.259381
3.1594207,18,10.265386
4.188096,18,10.272159
4.609061,18,10.69652
4.4647136,18,10.703385
4.5154734,18,10.71024
4.35393,18,10.717901
3.9791217,18,10.724985
4.597905,18,10.731919
4.8843436,18,10.741553
4.2899737,18,10.748695
4.208559,18,10.756048
5.48798,18,10.763211
3.9748785,18,10.77022
4.955508,18,10.776939
4.22916,18,10.783615
4.270118,18,10.791306
5.0787573,18,11.251507
4.840361,18,11.262597
5.5391326,18,11.268977
5.0784726,18,11.275257
5.0765204,18,11.282065
5.0553827,18,11.288839
5.2930503,18,11.29534
4.646631,18,11.301787
4.026936,18,11.309454
4.358232,18,11.316181
5.102612,18,11.322838
