#{"t_start": 1763888638.320008, "env_id": "None"}
r,l,t
27.683578,79,0.04522
25.331251,79,0.07822
28.26173,79,0.112732
25.197893,79,1.029563
27.913559,79,1.066804
29.750654,79,1.098408
28.744017,79,1.949606
25.769619,79,1.980887
28.513525,79,2.018439
27.081827,79,2.847503
27.534895,79,2.879161
26.087875,79,2.910462
27.522701,79,3.770822
25.862463,79,3.805459
24.946442,79,3.836359
30.351225,79,3.867843
29.650629,79,4.713592
25.234522,79,4.748073
26.18301,79,4.77913
26.518208,79,5.627508
24.654343,79,5.65887
26.633629,79,5.693157
29.497612,79,6.553804
28.892708,79,6.585651
28.68771,79,6.619907
28.51882,79,7.520233
28.533724,79,7.554156
26.67729,79,7.585734
29.865286,79,7.616869
29.103409,79,8.47983
28.187746,79,8.514165
27.631649,79,8.545263
26.81975,79,9.411484
28.384949,79,9.445595
27.066128,79,9.476796
26.236881,79,10.324934
27.650398,79,10.356346
28.50233,79,10.389653
26.859724,79,11.230929
29.084255,79,11.262806
27.257479,79,11.293895
30.512999,79,11.327061
28.73461,79,12.239762
27.29598,79,12.272567
29.087694,79,12.305322
26.888638,79,13.129909
26.681223,79,13.161506
28.45411,79,13.192699
27.803377,79,14.062789
28.600454,79,14.094402
28.160233,79,14.146048
28.254614,79,15.006169
25.41124,79,15.037329
29.566378,79,15.068747
29.76826,79,15.100116
30.022709,79,16.030507
28.323002,79,16.064282
27.78909,79,16.09593
27.797272,79,16.911949
29.229286,79,16.94379
29.1641,79,16.974771
27.524302,79,17.855913
26.165638,79,17.887338
28.891678,79,17.919
27.190475,79,18.750371
26.713535,79,18.784668
29.792915,79,18.816079
29.628784,79,18.847203
26.645071,79,19.770129
27.290121,79,19.805001
29.580988,79,19.83885
28.857454,79,20.660887
28.8812,79,20.693299
27.903286,79,20.72483
29.580212,79,21.577027
28.727512,79,21.630257
30.712217,79,21.675522
29.309061,79,22.533335
31.225508,79,22.567041
28.813194,79,22.598716
28.905386,79,22.629838
30.756231,79,23.466352
30.292067,79,23.500087
31.880318,79,23.531293
30.319715,79,24.391702
31.058922,79,24.423089
30.067047,79,24.456638
29.05278,79,25.27456
30.880198,79,25.309058
31.044338,79,25.340357
28.812765,79,26.178621
32.84391,79,26.20964
29.397898,79,26.24336
32.193623,79,27.054114
30.59469,79,27.088772
28.942701,79,27.120006
31.21034,79,27.15132
31.388788,79,28.055459
30.083622,79,28.086813
31.196724,79,28.120148
31.65446,79,28.966432
32.76822,79,29.022015
30.150518,79,29.055024
32.19282,79,29.885139
30.272997,79,29.91938
30.349228,79,29.950692
32.466034,79,30.79466
31.71788,79,30.826679
32.274982,79,30.86034
32.5136,79,30.891302
30.987352,79,31.763004
30.447624,79,31.796776
31.263453,79,31.828077
31.325,79,32.69503
31.597944,79,32.726051
30.242765,79,32.764503
30.517357,79,33.593593
33.372185,79,33.625189
30.368649,79,33.656001
29.265837,79,34.47225
31.937914,79,34.542154
30.918839,79,34.574496
30.027348,79,34.605519
32.765316,79,35.467255
30.510584,79,35.500867
30.79475,79,35.532025
30.961575,79,36.363531
31.482286,79,36.398569
32.45588,79,36.468444
31.374907,79,37.336124
31.41014,79,37.370556
32.500706,79,37.403428
32.289734,79,38.233409
33.34096,79,38.265436
33.605965,79,38.298839
32.61115,79,38.330301
33.02981,79,39.226675
33.39214,79,39.260464
30.726648,79,39.291706
29.799902,79,40.119655
33.313046,79,40.151374
33.40227,79,40.185042
31.592407,79,41.093271
34.772404,79,41.12697
32.463486,79,41.159047
33.142906,79,41.976467
32.75621,79,42.008038
33.482075,79,42.0392
32.527683,79,42.072991
31.99266,79,42.993132
34.231674,79,43.030684
31.207514,79,43.082014
33.182835,79,43.924883
33.28943,79,43.957649
